food_name,tag_name,serving_unit,serving_qty,nf_calories
apple juice,apple juice,cup,1,114.08
applebutter,apple butter,tbsp,1,29.41
green apple,green apple,"medium (3"" dia)",1,94.64
apple cider,apple cider,cup,1,114.08
applefritter,apple fritter,fritter,1,169.53
apple oatmeal,apple cinnamon oatmeal,packet,1,157.38
apple strudel,apfelstrudel,Piece,1,410.43
apple cider vinegar,apple cider vinegar,tbsp,1,3.13
juice,juice,fl oz,8,127.98
lime juice,lime juice,lime yields,1,11
peach juice,peach nectar,cup,1,134.46
grape juice,grape juice,cup,1,151.8
lime juiced,juice from one lime,"lime, juiced (2 tbsp)",1,7.56
lemon juice,lemon juice,tsp,1,0.85
olive juice,pickle juice,fl oz,1,24.82
banana juice,banana juice,cup,1,165.23
juice orange,orange juice,cup,1,111.6
tomato juice,tomato juice,cup,1,41.31
orange juice,orange juice,cup,1,111.6
avocado juice,avocado juice,cup,1,228.77
beetroot juice,beet juice,beet,1,98
pineapple juice,pineapple juice,cup,1,132.5
fresh lemon juice,raw lemon juice,cup,1,53.68
tropicana apple juice,tropicana apple juice,fl oz,10,140
minute maid orange juice,minute maid orange juice,bottle,1,220
cranberry juice cocktail,cranberry juice cocktail,cup,1,140.92
simply orange orange juice,simply orange orange juice,fl oz,8,110
avocado,avocado,"fruit, without skin and seed",1,321.6
avocados,avocado,"fruit, without skin and seed",1,321.6
oil avocado,avocado oil,tbsp,1,123.76
avocado dip,guacamole,tbsp,2,45.26
avocado oil,avocado oil,tbsp,1,123.76
avocado maki,avocado roll,roll,1,321.41
hass avocado,hass avocado,"fruit, without skin and seed",1,227.12
avocado taco,avocado taco,taco,1,122.19
avocado roll,avocado roll,roll,1,321.41
avocado toast,avocado toast,piece,1,188.97
avocado salad,avocado salad,cup,1,105.1
whole avocado,whole avocado,"fruit, without skin and seed",1,227.12
avocado ranch,avocado ranch dressing,tbsp,2,91.25
slimcado avocado,slimcado,fruit,1,162.93
avocado dressing,avocado vinaigrette,tbsp,2,111.35
avocado milkshake,avocado milkshake,fl oz,16,539.6
organic hass avocado,organic hass avocado,"fruit, without skin and seed",1,227.12
avocado ranch dressing,avocado ranch dressing,tbsp,2,91.25
avocado stuffed sweet potatoes,avocado stuffed sweet potato,potato,1,308.83
roll,roll,"roll (2-1/2"" dia)",1,76.44
rolls,roll,"roll (2-1/2"" dia)",1,76.44
egg roll,egg roll,piece,1,222.5
egg rolls,chinese egg roll,piece,1,222.5
large roll,large roll,"large roll or bun (3-1/2"" dia)",1,135.88
small roll,roll,"roll (2-1/2"" dia)",1,76.44
dinner roll,dinner roll,roll (1 oz),1,76.44
rolled oats,oats (dry),cup,0.5,153.5
salmon roll,salmon roll,roll,1,278.05
rolled tacos,beef taquitos,piece,1,120.54
cabbage roll,cabbage rolls,roll,1,228.59
dinner rolls,dinner roll,roll (1 oz),1,76.44
avacado roll,avocado roll,roll,1,321.41
cinnamon roll,cinnamon roll,large,1,290.4
cucumber roll,cucumber roll,roll,1,238.87
california roll,california roll,roll (8 pieces),1,348.54
whole wheat roll,whole wheat roll,roll,1,95.76
vegetable spring rolls,vegetable spring roll,roll,1,148.3
bacon,bacon,slices,3,161.46
baconator,baconator,burger,1,930.6
bacon fat,rendered bacon fat,tsp,1,38.57
back bacon,british back bacon,rasher,1,42.5
bacon bits,bacon bits,tbsp,1,33.32
beef bacon,beef bacon,slice,1,30.42
pork bacon,pork bacon,slices,3,161.46
bacon jerky,bacon jerky,ounce,1,131.04
bacon burger,bacon cheeseburger,item,1,?
turkey bacon,turkey bacon,slice,1,?
bacon panini,bacon panini,sandwich,1,639.17
bacon omelet,bacon omelet,3-egg omelet,1,515.76
bacon whopper,burger king bacon and cheese whopper,g,289,790
bacon sandwich,bacon sandwich,sandwich,1,450
canadian bacon,canadian bacon,slice,1,20.15
uncooked bacon,uncooked bacon,slice raw,1,116.76
meatless bacon,meatless bacon,strip,1,15.45
wendys baconator,wendy's baconator,Serving,1,950
bacon cheeseburger,bacon cheeseburger,item,1,595.02
green beans and bacon,green beans with bacon,cup,1,92.87
black tea,black tea,fl oz,6,1.78
blackberry,blackberry,blackberry,1,2.8
black bean,black bean,cup,1,227.04
black peas,"black-eyed peas, raw",cup,1,561.12
black beans,black bean,cup,1,227.04
blackberries,blackberry,blackberry,1,2.8
black pepper,black pepper,"tsp, ground",1,5.77
black coffee,brewed coffee,cup (8 fl oz),1,2.37
black grapes,black grapes,grape,1,3.42
black olives,black olive,olive,1,4.37
black eyed peas,black eyed peas,cup,1,198.36
dry black beans,uncooked black beans,cup,1,661.54
can black beans,canned black beans,can (15 oz),1,386.98
black beans can,canned black beans,can (15 oz),1,386.98
goya black beans,goya black beans,cup,0.5,130
blackbean burger,black bean burger,burger on bun,1,476.31
black bean burger,black bean burger,burger on bun,1,476.31
ground black pepper,black pepper,"tsp, ground",1,5.77
chipotle black beans,chipotle black beans,oz,4,130
brazilian black beans,feijoada,bowl (2 cups),1,690.94
beans,baked bean,cup,1,?
red beans,red kidney beans,cup,1,224.79
baked beans,baked bean,cup,1,238.76
broad beans,fava bean,cup,0.5,93.5
green beans,green beans,bean,1,2.24
jelly beans,jelly beans,small,10,41.25
white beans,white bean,cup,1,248.81
kidney beans,red kidney beans,cup,1,224.79
string beans,green beans,bean,1,2.24
refried beans,refried bean,cup,1,214.2
bush baked beans,bush's baked beans,cup,1,238.76
canned green beans,"green beans, canned",bean,1,29.7
bushs best baked beans,bushs best baked beans,cup,0.5,140
bagels,bagel,medium bagel,1,277.2
egg bagels,egg bagel,"large bagel (4-1/2"" dia)",1,364.18
ham bagels,ham bagel,bagel,1,511.36
mini bagels,mini bagel,mini bagel,1,118.8
thin bagels,bagel thin,thin bagel,1,110.88
salt bagels,salt bagel,bagel,1,277.2
water bagels,plain bagel,medium bagel,1,277.2
sesame bagels,sesame bagel,bagel,1,317.24
thomas bagels,bagel,medium bagel,1,277.2
cheese bagels,asiago cheese bagel,bagel,1,329.7
spinach bagels,spinach bagel,bagel,1,395.14
multigrain bagels,multigrain bagel,bagel,1,289.2
bageladies bagels,bageladies bagels,bagel,1,195
multi grain bagels,multigrain bagel,bagel,1,289.2
pumpernickel bagels,pumpernickel bagel,bagel,1,270
french toast bagels,french toast bagel,bagel,1,350.61
jalapeno cheese bagels,jalapeno cheddar bagel,bagel,1,382.26
thomas everything bagels,thomas everything bagels,bagel,1,290
dunkin donuts plain bagels,dunkin donuts plain bagel,Bagel,1,300
einstein bros bagels asiago cheese bagel,einstein bros bagels asiago cheese bagel,bagel,1,300
baked fish,fish,medium fillet (6 oz),1,217.6
baked lays,lays baked chips,chips,18,?
baked chips,baked chips,chips,18,?
baked wings,baked chicken wing,drummette,1,87.99
salmon baked,baked salmon fillet,fillet,1,467.62
baked salmon,baked salmon fillet,fillet,1,467.62
baked tilapia,baked tilapia,medium fillet (6 oz),1,217.6
baked chicken,baked chicken,oz,3,187
baked potatoes,baked potato,potato medium,1,160.89
bbq baked beans,baked bean,cup,1,238.76
baked sweet potato,baked sweet potato,medium,1,102.6
baked french fries,baked french fries,fries,10,120.08
baked buffalo wings,baked chicken wing,drummette,1,87.99
baked chicken breast,baked chicken breast,"breast, bone and skin removed",0.5,141.9
baked chicken breast strips,Baked breaded chicken tender,piece,1,384.25
baked breaded chicken breast,baked breaded chicken,piece,1,384.25
bbq,bbq,cup,1,418.32
bbq rib,barbecue ribs,half rack (6 ribs),1,?
pork bbq,bbq,cup,1,?
bbq beef,bbq beef,cup,1,517.18
bbq ribs,barbecue ribs,half rack (6 ribs),1,761.72
bbq pork,bbq,cup,1,418.32
bbq sauce,barbeque sauce,tbsp,2,58.48
bbq turkey,bbq turkey,slice,1,83.35
korean bbq,beef bulgogi,cup,1,333.75
bbq chicken,bbq chicken,piece,1,144.88
bbq brisket,brisket,oz,3,245.65
pringles bbq,pringles bbq,g,25,129
bbq beef ribs,BBQ Beef Ribs,full rack (7 ribs),1,1131.35
bbq drumstick,bbq chicken drumstick,drumstick,1,136.2
bbq pork chops,bbq pork chop,pork chop,1,333.78
bbq pulled pork,bbq,cup,1,418.32
bbq beef brisket,Barbecue beef brisket,Ounce,1,101.39
bbq buffalo wings,Barbecue Buffalo Wings,Ounce,1,81.01
bbq chicken breast,bbq chicken breast,"cup, diced",1,276.33
bison,bison,patty,1,207.06
bison meat,bison,patty,1,207.06
bison patty,bison burger patty,patty,1,248.78
bison steak,bison steak,steak,1,316.83
ground bison,ground bison,serving ( 3 oz ),1,202.3
bison burger,bison burger,burger on bun,1,465.45
bison hamburger,bison burger,burger on bun,1,465.45
bison cheeseburger,bison burger,burger on bun,1,465.45
bison burger patty,bison burger patty,patty,1,248.78
bison burger on bun,bison burger,burger on bun,1,465.45
bison hamburger on bun,bison burger,burger on bun,1,465.45
bison cheeseburger on bun,bison burger,burger on bun,1,465.45
barley,barley,cup,1,193.11
barley raw,uncooked barley,cup,1,704
raw barley,uncooked barley,cup,1,704
barley soup,vegetable barley soup,cup,1,109.98
pearl barley,barley,cup,1,193.11
barley flour,barley flour,cup,1,510.6
cooked barley,barley,cup,1,193.11
pearled barley,barley,cup,1,?
uncooked barley,uncooked barley,cup,1,?
barley uncooked,uncooked barley,cup,1,704
beef barley soup,beef barley soup,bowl (2 cups),1,216.32
chicken barley soup,chicken barley soup,cup,1,131.54
cooked pearl barley,barley,cup,1,193.11
mushroom barley soup,Mushroom Barley Soup,cup,1,185.94
barley mushroom soup,Mushroom Barley Soup,cup,1,185.94
beef and barley soup,beef barley soup,bowl (2 cups),1,216.32
vegetable barley soup,vegetable barley soup,cup,1,109.98
uncooked pearl barley,uncooked barley,cup,1,704
beef vegetable barley soup,vegetable beef barley soup,cup,1,163.45
vegetable beef barley soup,vegetable beef barley soup,cup,1,163.45
beer,all beer,can or bottle,1,153.08
beers,all beer,can or bottle,1,153.08
ipa beer,india pale ale,bottle,1,196.85
beer ipa,india pale ale,bottle,1,196.85
lite beer,light beer,can or bottle (12 fl oz),1,102.66
beer nuts,beer nuts,pieces,34,160
dark beer,stout,bottle,1,196.85
root beer,root beer,can or bottle (12 fl oz),1,151.7
craft beer,higher alcohol beer,bottle,1,196.85
light beer,light beer,can or bottle (12 fl oz),1,102.66
stella beer,stella artois,12 oz bottle,1,153
corona beer,corona extra,12oz Bottle,1,148
ginger beer,ginger beer,can,1,186.36
miller beer,miller genuine draft,can or bottle,1,153.08
pumpkin beer,pumpkin beer,can or bottle,1,153.08
pacifico beer,pacifico clara,can or bottle,1,153.08
blue moon beer,blue moon belgian white,12 oz bottle,1,164
raspberry beer,raspberry beer,can or bottle,1,153.08
budweiser beer,budweiser,fl oz,12,146.37
diet root beer,diet root beer,can (12 fl oz),1,7.1
tomato bisque,tomato bisque soup,bowl (2 cups),1,284.93
lobster bisque,lobster bisque,serving,1,231.6
she crab bisque,she crab soup,bowl (2 cups),1,506.27
tomato bisque soup,tomato bisque soup,bowl (2 cups),1,284.93
lobster bisque soup,lobster bisque,serving,1,231.6
shrimp lobster bisque,lobster bisque,serving,1,231.6
bluefish,sablefish,oz,3,212.5
bread,bread,slice,1,77.14
breading,breading,tbsp,2,65.49
breadbowl,bread bowl,bread bowl,1,549.81
breadfruit,breadfruit,cup,1,226.6
pita bread,pita,"pita, large (6-1/2"" dia)",1,165
breadstick,breadstick,"stick (9-1/4"" x 3/8"")",1,24.72
brown bread,Brown bread,slice,1,77.43
white bread,white bread,slice (1.3 oz),1,97.89
bread flour,bread flour,cup,1,494.57
bread brown,Brown bread,slice,1,77.43
wheat bread,wheat bread,slice,1,?
garlic bread,garlic bread,slice presliced,1,?
french bread,french bread,regular slice,1,174.08
banana bread,"bread, banana",medium piece,1,?
sourdough bread,sourdough bread,slice,1,?
blueberry bread,blueberry bread,slice,1,?
whole wheat bread,whole wheat bread,slice,1,?
breaded chicken breast,breaded chicken,piece,1,37.8
coconut breaded chicken breast,coconut chicken,"piece, breast",1,373.16
broccoli,broccoli,"spear (about 5"" long)",1,12.95
broccolini,broccolini,cup,1,36.98
broccoli raw,raw broccoli,cup chopped,1,30.94
raw broccoli,raw broccoli,cup chopped,1,30.94
broccoli soup,broccoli soup,bowl (2 cups),1,432.62
broccoli slaw,fresh broccoli slaw,oz,1,9.5
broccoli beef,beef with broccoli,order,1,602.7
beef broccoli,beef with broccoli,order,1,602.7
broccoli rabe,broccoli raab,cup chopped,1,8.8
broccoli salad,broccoli slaw salad,oz,1,207.57
chilis broccoli,chilis steamed broccoli,serving,1,40
cooked broccoli,cooked broccoli,"cup, chopped",0.5,27.3
frozen broccoli,frozen broccoli,cup,1,51.52
boiled broccoli,cooked broccoli,"cup, chopped",0.5,27.3
broccoli cheddar,broccoli and cheese casserole,cup,1,?
chicken broccoli,chinese chicken and broccoli,cup,1,?
broccoli sprouts,broccoli sprouts,cup,1,7.59
broccoli florets,broccoli,"spear (about 5"" long)",1,12.95
steamed broccoli,cooked broccoli,"cup, chopped",0.5,27.3
roasted broccolini,roasted broccolini,cup,1,93.66
chicken buritto,chicken burrito,medium burrito,1,664.12
cabbage,cabbage,"cup, shredded",0.5,17.25
cabbage raw,"cabbage, raw","cup, chopped",1,?
red cabbage,red cabbage,"cup, shredded",1,?
raw cabbage,"cabbage, raw","cup, chopped",1,22.25
napa cabbage,napa cabbage,cup,1,13.08
cabbage soup,cabbage soup,bowl (2 cups),1,169.83
cabbage stew,cabbage stew,cup,1,181.77
cabbage slaw,coleslaw,cup,0.5,174.11
cabbage rolls,cabbage rolls,roll,1,228.59
fried cabbage,fried cabbage,cup,1,114.52
roast cabbage,roasted cabbage,cup,1,87.38
cabbage salad,cabbage salad,salad with dressing,1,329.65
cabbage cooked,cooked cabbage,"cup, shredded",0.5,17.25
cooked cabbage,cooked cabbage,"cup, shredded",0.5,17.25
boiled cabbage,cooked cabbage,"cup, shredded",0.5,17.25
chinese cabbage,chinese cabbage,"cup, shredded",1,9.1
ethiopian cabbage,tikel gomen,cup,1,121.23
cooked red cabbage,"red cabbage, cooked","cup, shredded",1,43.5
corned beef and cabbage,corned beef and cabbage,cups,2,336.07
cake,cake,piece,1,261.97
crab cake,crab cake,medium cake,1,362.14
rice cake,rice cake,cake,1,34.83
pound cake,pound cake,piece,1,215.33
rice cakes,rice cake,cake,1,34.83
creme cake,cream cake,slice,1,413.21
carrot cake,carrot cake,piece,1,577.47
coffee cake,coffee cake,piece (1/9 of 20 oz cake),1,263.34
cheese cake,cheesecake,piece (1 NLEA serving),1,401.25
salmon cake,Salmon patty,patty,1,421.56
lemonade cake,lemonade cake,piece,1,482.05
ice cream cake,ice cream cake,slice,1,256.99
pineapple cake,pineapple upside down cake,"piece (1/9 of 8"" square)",1,366.85
chocolate cake,chocolate cake,piece,1,424.01
brown rice cake,brown rice cake,cake,1,34.83
classic coffee cake,coffee cake,piece (1/9 of 20 oz cake),1,263.34
white cheddar rice cake,white cheddar rice cake,cake,1,45.19
chocolate chip cookie cake,chocolate chip cookie cake,piece,1,349.32
peanut butter chocolate cake,chocolate peanut butter cake,piece,1,482.94
