food_name,brand_name_item_name,brand_name,serving_unit,serving_qty,nf_calories
Butternut Squash & Sweet Potato Sipping Soup,Campbell's Butternut Squash & Sweet Potato Sipping Soup,Campbell's,container,1.0,170.0
Butternut Squash,Giant Butternut Squash,Giant,cup,0.5,160.0
Orange Squash,Morrisons Orange Squash,Morrisons,ml glass (as prepared),250.0,8.600000381469727
Squash Saute,Luby's Squash Saute,Luby's,cup,1.0,110.0
Baked Squash,Krasdale Baked Squash,Krasdale,cup,0.5,50.0
"Veggie Spirals, Butternut Squash","Green Giant Veggie Spirals, Butternut Squash",Green Giant,cup,0.75,50.0
"Ravioli, Butternut Squash & Sage","Evol Ravioli, Butternut Squash & Sage",Evol,bowl,1.0,320.0
Butternut Squash Chunks,Heinen's Butternut Squash Chunks,Heinen's,g,40.0,20.0
Butternut Squash Noodles,Pearson Butternut Squash Noodles,Pearson,oz,3.0,35.0
Cooked Winter Squash,Meijer Cooked Winter Squash,Meijer,cup,0.33000001311302185,40.0
Roasted Squash Fries,Sweetgreen Roasted Squash Fries,Sweetgreen,serving,1.0,200.0
Spaghetti Squash,Big Chuy Spaghetti Squash,Big Chuy,g,155.0,42.0
Baby Green Squash,Publix Baby Green Squash,Publix,oz,3.0,15.0
Yellow Squash,Pizza Schmizza Yellow Squash,Pizza Schmizza,oz.,1.0,5.0
"Vanilla Almond Milk, Unsweetened, Refrigerated","Almond Breeze Vanilla Almond Milk, Unsweetened, Refrigerated",Almond Breeze,cup,1.0,30.0
"Almond Breeze Almondmilk, Vanilla Unsweetened","Blue Diamond Almond Breeze Almondmilk, Vanilla Unsweetened",Blue Diamond,cup,1.0,30.0
Almond Breeze Almond Milk,Blue Diamond Almonds Almond Breeze Almond Milk,Blue Diamond Almonds,cup,1.0,30.0
"Almond Breeze Almondmilk, Unsweetened Original","Blue Diamond Almond Breeze Almondmilk, Unsweetened Original",Blue Diamond,cup,1.0,30.0
"Almond Breeze, Almondmilk","Blue Diamond Almonds Almond Breeze, Almondmilk",Blue Diamond Almonds,cup,1.0,80.0
"Almondmilk, Chocolate","Blue Diamond Almond Breeze Almondmilk, Chocolate",Blue Diamond Almond Breeze,cup,1.0,40.0
"Pure Almond, Unsweetened","Silk Pure Almond, Unsweetened",Silk,cup,1.0,30.0
"Almondmilk - Vanilla, Unsweetened","Silk Almondmilk - Vanilla, Unsweetened",Silk,cup,1.0,30.0
Almond Breeze Almondmilk Coconut Milk Blend,Blue Diamond Almond Breeze Almond Breeze Almondmilk Coconut Milk Blend,Blue Diamond Almond Breeze,cup,1.0,40.0
Bold Wasabi & Soy Sauce Almonds,Blue Diamond Almonds Bold Wasabi & Soy Sauce Almonds,Blue Diamond Almonds,nuts,28.0,170.0
Almondmilk,Blue Diamond Almondmilk,Blue Diamond,cup,1.0,30.0
"Almond Breeze Almondmilk, Vanilla, Reduce Sugar","Almond Breeze Almond Breeze Almondmilk, Vanilla, Reduce Sugar",Almond Breeze,cup,1.0,60.0
"Dressing & Marinade, Honey Balsamic","Blue Diamond Almonds Dressing & Marinade, Honey Balsamic",Blue Diamond Almonds,tablespoon,1.0,10.0
Turkey Almonds Colby Jack,Oscar Mayer Turkey Almonds Colby Jack,Oscar Mayer,package,1.0,180.0
Biscuits with Almond Butter,Nature Valley Biscuits with Almond Butter,Nature Valley,sandwich,1.0,190.0
Almond Breeze Almondmilk Nog,Blue Diamond Almond Breeze Almondmilk Nog,Blue Diamond,cup,0.5,60.0
Caramel Almond & Sea Salt Bar,Kind Caramel Almond & Sea Salt Bar,Kind,bar,1.0,170.0
"Almond Breeze Almondmilk, Chocolate","Blue Diamond Almond Breeze Almondmilk, Chocolate",Blue Diamond,cup,1.0,100.0
Cookies,Almondina Cookies,Almondina,cookies,3.0,80.0
"Almond Nut-Thins, Nut & Rice Cracker Snacks, Cheddar Cheese","Blue Diamond Almonds Almond Nut-Thins, Nut & Rice Cracker Snacks, Cheddar Cheese",Blue Diamond Almonds,crackers,17.0,130.0
"Artichoke Dip, Jalapeno Artichoke","Park Street Deli Artichoke Dip, Jalapeno Artichoke",Park Street Deli,tbsp,2.0,80.0
The Artichoke Pie,Artichoke Basille's Pizza Co. The Artichoke Pie,Artichoke Basille's Pizza Co.,slice,1.0,320.0
Artichokes,Saladworks Artichokes,Saladworks,salad,1.0,30.0
Spinach and Artichoke Hummus,Sabra Spinach and Artichoke Hummus,Sabra,tbsp,2.0,70.0
Artichoke Hearts,Brookview Artichoke Hearts,Brookview,cup,0.5,35.0
Marinated Artichokes,Paesana Marinated Artichokes,Paesana,oz,1.0,25.0
Artichoke Pesto,Bruegger's Artichoke Pesto,Bruegger's,oz,0.5,45.0
Quartered Artichokes,Royalty Quartered Artichokes,Royalty,pieces,18.0,25.0
Artichoke Ravioli,Unknown Artichoke Ravioli,Unknown,g,165.0,270.0
Artichoke Spread,Peloponnese Artichoke Spread,Peloponnese,tbsp,2.0,60.0
"Ravioli, Artichoke","Rana Ravioli, Artichoke",Rana,cup,1.0,270.0
Artichoke Dip,Mitchell's Fresh Artichoke Dip,Mitchell's Fresh,tbsp,2.0,45.0
Artichoke Portobello Soup,Kneaders Artichoke Portobello Soup,Kneaders,cup,1.0,340.0
Artichokes Hearts,Pizza Schmizza Artichokes Hearts,Pizza Schmizza,oz.,1.0,25.0
Artichokes Pate',Sacla Italia Artichokes Pate',Sacla Italia,tbsp,2.0,60.0
Spinach & Artichoke,Petite Cuisine Spinach & Artichoke,Petite Cuisine,pieces,3.0,240.0
Spinach Artichoke Dip,Champps Spinach Artichoke Dip,Champps,plating,1.0,1050.0
Stuffed Chicken With Creamy Spinach & Artichoke,Real Foods Stuffed Chicken With Creamy Spinach & Artichoke,Real Foods,piece,1.0,320.0
Artichoke Grilled Flatbread,Sandella's Artichoke Grilled Flatbread,Sandella's,serving,1.0,570.0
"Macaroons, Ginger","Village Applesauce Macaroons, Ginger",Village Applesauce,macaroon,1.0,60.0
"Applesauce, Original","Nice! Applesauce, Original",Nice!,cup,1.0,80.0
Cinnamon Applesauce,Mott's Cinnamon Applesauce,Mott's,cup,0.5,110.0
Original Applesauce,Schnucks Original Applesauce,Schnucks,cup,0.5,100.0
Unsweetened Applesauce,Diebergs Unsweetened Applesauce,Diebergs,unit,1.0,50.0
Chunky Applesauce,Kroger Chunky Applesauce,Kroger,cup,0.5,90.0
Classic Applesauce,Kroger Classic Applesauce,Kroger,cup,0.5,90.0
Musselman's Applesauce,KFC Musselman's Applesauce,KFC,Grams,90.0,45.0
"Applesauce, Cinnamon","Mott's Applesauce, Cinnamon",Mott's,container,1.0,100.0
Classics Applesauce,Kroger Classics Applesauce,Kroger,cup,0.5,90.0
Applesauce Cinnamon,SE Grocers Applesauce Cinnamon,SE Grocers,cup,1.0,80.0
Kids' Applesauce,Village Inn Kids' Applesauce,Village Inn,serving,1.0,50.0
Ahi Sashimi,Yard House Ahi Sashimi,Yard House,Serving,1.0,410.0
Ahi Tuna Steaks,Anova Ahi Tuna Steaks,Anova,oz raw,4.0,124.0
Ahi Tuna,Jana Worldwide Ahi Tuna,Jana Worldwide,oz uncooked,4.0,130.0
Seared Ahi Tuna,Champps Seared Ahi Tuna,Champps,serving,1.0,430.0
Ahi Tuna Wrap,Daily Grill Ahi Tuna Wrap,Daily Grill,serving,1.0,820.0
Char-Crusted Ahi Tuna,Houlihan's Char-Crusted Ahi Tuna,Houlihan's,order,1.0,390.0
"Poke, Spicy Ahi","Anna Sea Poke, Spicy Ahi",Anna Sea,cup,1.0,160.0
Seared Ahi Salad,Kyle's Kitchen Seared Ahi Salad,Kyle's Kitchen,small size portion,1.0,250.0
Ahi Tartare,Cheesecake Factory Ahi Tartare,Cheesecake Factory,order,1.0,240.0
Yellowfin Ahi Tuna,Giant Yellowfin Ahi Tuna,Giant,oz,4.0,120.0
Ahi Tuna Salad,Newk's Eatery Ahi Tuna Salad,Newk's Eatery,Salad,1.0,330.0
Pepper Seared Ahi Tacos,Champps Pepper Seared Ahi Tacos,Champps,serving,1.0,630.0
"Ahi Crunchy Salad, Small","Yard House Ahi Crunchy Salad, Small",Yard House,Serving,1.0,380.0
Maguro (Ahi Tuna) Nigiri,Tokyo Joe's Maguro (Ahi Tuna) Nigiri,Tokyo Joe's,pieces,2.0,120.0
Seared Ahi Tuna Salad,Yummi Sushi Seared Ahi Tuna Salad,Yummi Sushi,g,403.0,380.0
Seared Ahi Tuna salad,Mama Fu's Seared Ahi Tuna salad,Mama Fu's,oz,11.5,580.0
Blackened Ahi Tuna Salad,Daily Grill Blackened Ahi Tuna Salad,Daily Grill,serving,1.0,320.0
Seared Ahi Tuna Sashimi,Daily Grill Seared Ahi Tuna Sashimi,Daily Grill,serving,1.0,480.0
"Seared Peppered Ahi, Large","Outback Steakhouse Seared Peppered Ahi, Large",Outback Steakhouse,order,1.0,390.0
Tuna Salad,StarKist Tuna Salad,StarKist,pouch,1.0,100.0
"Tuna Creations, Ranch","StarKist Tuna Creations, Ranch",StarKist,pouch,1.0,70.0
Blackberry Preserve,Tunas Blackberry Preserve,Tunas,tbsp,1.0,59.0
"Tuna Creations, Lemon Pepper","StarKist Tuna Creations, Lemon Pepper",StarKist,pouch,1.0,80.0
"Tuna Creations, Sweet & Spicy","StarKist Tuna Creations, Sweet & Spicy",StarKist,pouch,1.0,90.0
Ventresca Tuna in Olive Oil,Cole's Tuna Ventresca Tuna in Olive Oil,Cole's Tuna,cup,0.30000001192092896,142.0
"Tuna Creations, Hickory Smoked","StarKist Tuna Creations, Hickory Smoked",StarKist,pouch,1.0,110.0
"Tuna Creastions, Jalapeno, Bold","StarKist Tuna Creastions, Jalapeno, Bold",StarKist,pouch,1.0,70.0
Hickory Smoked Tuna,StarKist Tuna Creations Hickory Smoked Tuna,StarKist Tuna Creations,pouch,1.0,110.0
Tuna In Olive Oil,Cole's Tuna Tuna In Olive Oil,Cole's Tuna,can drained,1.0,176.0
"White Tuna, Solid in Water","Hana Tuna White Tuna, Solid in Water",Hana Tuna,g,100.0,109.87000274658203
"Tuna Creations, Deli Style Tuna Salad","StarKist Tuna Creations, Deli Style Tuna Salad",StarKist,package,1.0,140.0
Tuna Cheesy Pasta,Tuna Helper Tuna Cheesy Pasta,Tuna Helper,cup as pkgd,0.5,100.0
Chunk Light Tuna in Oil,Tunatun Real Chunk Light Tuna in Oil,Tunatun Real,cup,0.25,120.0
"Home-Cooked Skillet Meal, Fettuccine Alfredo","Tuna Helper Home-Cooked Skillet Meal, Fettuccine Alfredo",Tuna Helper,cup,0.75,170.0
"Tuna Creations, Thai Chili","StarKist Tuna Creations, Thai Chili",StarKist,pouch,1.0,90.0
Solid White Albacore in Water,Bumble Bee Solid White Albacore in Water,Bumble Bee,cup,0.25,60.0
Wild Albacore Tuna,Wild Planet Wild Albacore Tuna,Wild Planet,ounces,3.0,100.0
Solid White Albacore Tuna In Water,StarKist Solid White Albacore Tuna In Water,StarKist,cup,0.25,50.0
Albacore White Tuna In Water,StarKist Albacore White Tuna In Water,StarKist,pouch,1.0,80.0
Albacore Tuna,Meijer Albacore Tuna,Meijer,oz drained,2.0,70.0
Solid White Albacore Tuna in Water,Kirkland Signature Solid White Albacore Tuna in Water,Kirkland Signature,can drained,1.0,180.0
Albacore Melt,Ruby's Diner Albacore Melt,Ruby's Diner,Serving,1.0,720.0
Albacore Tuna Sashimi,Benihana Albacore Tuna Sashimi,Benihana,oz,0.5,30.0
Albacore Tuna Tataki,Earls Albacore Tuna Tataki,Earls,grams,135.0,240.0
Albacore White Tuna,StarKist Albacore White Tuna,StarKist,pouch,1.0,90.0
Albacore Truffle Ponzu,Yo! Sushi Albacore Truffle Ponzu,Yo! Sushi,serving,1.0,90.0
Coriander Crusted Albacore Tuna,Earls Coriander Crusted Albacore Tuna,Earls,grams,476.0,710.0
"Tuna, Solid White Albacore","Ahold Tuna, Solid White Albacore",Ahold,cup drained,0.25,70.0
Albacore Tuna Flatbread,UFood Grill Albacore Tuna Flatbread,UFood Grill,serving,1.0,520.0
Albacore Tuna Melt,Marie Callender's Albacore Tuna Melt,Marie Callender's,serving,1.0,1430.0
Herb Albacore Tuna Salad,Sprouts Herb Albacore Tuna Salad,Sprouts,ounces,4.0,260.0
Solid White Albacore,Kirkland Signature Solid White Albacore,Kirkland Signature,cup,1.0,70.0
Albacore Tuna Nigiri,Benihana Albacore Tuna Nigiri,Benihana,oz,0.5,60.0
Albacore Tuna in Water,StarKist Albacore Tuna in Water,StarKist,kit,1.0,240.0
"Nutri Grain Bar, Apple Cinnamon","Kellogg's Nutri Grain Bar, Apple Cinnamon",Kellogg's,bar,1.0,130.0
"GoGo Squeez Organic Applesauce, Apple Apple","Materne GoGo Squeez Organic Applesauce, Apple Apple",Materne,pouch,1.0,60.0
Chicken & Apple Breakfast Sausage,Applegate Chicken & Apple Breakfast Sausage,Applegate,links,3.0,120.0
"Applesauce on The Go, Apple Apple","GoGo Squeez Applesauce on The Go, Apple Apple",GoGo Squeez,pouch,1.0,60.0
"Gogo Squeez Applesauce on the Go, Apple Apple","Materne Gogo Squeez Applesauce on the Go, Apple Apple",Materne,pouch,1.0,60.0
Chicken & Maple Breakfast Sausage,Applegate Chicken & Maple Breakfast Sausage,Applegate,links,3.0,110.0
Greek Caramel Apple Pie Yogurt,Dannon Light & Fit Greek Caramel Apple Pie Yogurt,Dannon Light & Fit,container,1.0,80.0
Apple Sangria,Applebee's Apple Sangria,Applebee's,Serving,1.0,210.0
Savory Turkey Breakfast Sausage,Applegate Savory Turkey Breakfast Sausage,Applegate,links,3.0,90.0
Apple Ugly,AppleBaking Co. Apple Ugly,AppleBaking Co.,oz,4.0,440.0
Fuji Apple,Apple Country Fuji Apple,Apple Country,medium apple,1.0,80.0
"GoGo Squeez, Apple Sauce on the Go, Apple Cinnamon","Materne GoGo Squeez, Apple Sauce on the Go, Apple Cinnamon",Materne,pouch,1.0,70.0
Apple Slices,Michigan Apples Apple Slices,Michigan Apples,package,1.0,30.0
Vegetable Juice,V8 Vegetable Juice,V8,can,1.0,70.0
"Vegetable Juice, Original","V8 Vegetable Juice, Original",V8,can,1.0,30.0
"100% Juice, Apple","Juicy Juice 100% Juice, Apple",Juicy Juice,fl oz,8.0,110.0
"100% Juice, Berry","Juicy Juice 100% Juice, Berry",Juicy Juice,box,1.0,100.0
"100% Juice, Grape","Juicy Juice 100% Juice, Grape",Juicy Juice,box,1.0,100.0
"100% Juice, Mango","Juicy Juice 100% Juice, Mango",Juicy Juice,fl oz,8.0,120.0
"100% Juice, Orange Juice","Hansens 100% Juice, Orange Juice",Hansens,fl oz,8.0,120.0
King Kale Juice,Juice Matters King Kale Juice,Juice Matters,oz,16.0,157.0
Sparkling Juice Drink,Joint Juice Sparkling Juice Drink,Joint Juice,bottle,1.0,20.0
Carrot Juice,Booster Juice Carrot Juice,Booster Juice,ml,480.0,190.0
Maui Juice,Booster Juice Maui Juice,Booster Juice,ml,480.0,220.0
Seasonal Juice,Pressed Juicery Seasonal Juice,Pressed Juicery,cup,1.0,80.0
"Juice, Grape","Juicy Juice Juice, Grape",Juicy Juice,box,1.0,70.0
"100% Juice, Grapefruit Juice","Safeway 100% Juice, Grapefruit Juice",Safeway,cup,1.0,100.0
"100% Juice, Punch","Juicy Juice 100% Juice, Punch",Juicy Juice,box,1.0,60.0
"Fruit Juice, Pineapple","Tru-Juice Fruit Juice, Pineapple",Tru-Juice,ml,240.0,120.0
"Juice Chug, Orange Juice","Dean's Juice Chug, Orange Juice",Dean's,container,1.0,190.0
100% Apple Juice,Juice 4 U 100% Apple Juice,Juice 4 U,fl oz,6.75,100.0
Avocado Toast Avocado Spread,Sabra Avocado Toast Avocado Spread,Sabra,tray,1.0,190.0
"Avocado Dip, Minis","Wholly Avocado Avocado Dip, Minis",Wholly Avocado,mini cup,1.0,120.0
"Smashed Avocado's, Sea Salt","Wholly Avocado Smashed Avocado's, Sea Salt",Wholly Avocado,mini cup,1.0,130.0
Hass Avocados,Quaker Hass Avocados,Quaker,packet,1.0,120.0
"Simply Avocado Dip & Spread, Sea Salt","Wholly Avocado Simply Avocado Dip & Spread, Sea Salt",Wholly Avocado,tbsp,2.0,70.0
Avocado Oil Mayo,Kraft Avocado Oil Mayo,Kraft,tbsp,1.0,45.0
Avocado Ranch Chopped Kit,Taylor Farms Avocado Ranch Chopped Kit,Taylor Farms,cup,1.0,140.0
"Yogurt Dressing, Cilantro Avocado","Bolthouse Farms Yogurt Dressing, Cilantro Avocado",Bolthouse Farms,tbsp,2.0,40.0
"GC = Fried Avocado, Fresh Avocados On Corn With Poblano Sauce","Torchy's Tacos GC = Fried Avocado, Fresh Avocados On Corn With Poblano Sauce",Torchy's Tacos,Serving,1.0,370.0
100 Calorie Chunky Avocado Minis,Wholly Avocado 100 Calorie Chunky Avocado Minis,Wholly Avocado,mini cup,1.0,100.0
Avocado,Uberrito Avocado,Uberrito,fruit,0.25,60.0
"Mayo, Avocado Oil","Primal Kitchen Mayo, Avocado Oil",Primal Kitchen,tbsp,1.0,100.0
Guacamole,Ole Avocado Guacamole,Ole Avocado,tbsp,2.0,60.0
Avocados,Trader Joe's Avocados,Trader Joe's,"fruit, without skin and seed",1.0,227.1199951171875
avocados,Mission avocados,Mission,"fruit, without skin and seed",0.5,113.55999755859375
Avocado Oil,Chosen Foods Avocado Oil,Chosen Foods,tbsp,1.0,130.0
"Crackers, Avocado Cilantro & Lime","Triscuit Crackers, Avocado Cilantro & Lime",Triscuit,crackers,6.0,120.0
Avocado Halves,Calavo Avocado Halves,Calavo,tbsp,2.0,50.0
"Salsa, Avocado Verde","Wholly Salsa, Avocado Verde",Wholly,tbsp,2.0,35.0
Chunky Avocado,Wal-Mart Chunky Avocado,Wal-Mart,tbsp,2.0,50.0
"Black Bear favorite, Blackberries, Blueberries, Black Raspberries","Spring Valley Farms Black Bear favorite, Blackberries, Blueberries, Black Raspberries",Spring Valley Farms,tbsp,1.0,30.0
Blackberries,Driscoll's Blackberries,Driscoll's,cup of blackberries,1.0,43.0
"Jelly, Blackberry","Blackberry Patch Jelly, Blackberry",Blackberry Patch,tbsp,1.0,35.0
Black & Green Black Tea,Tetley Black & Green Black Tea,Tetley,tea bag,1.0,0.0
Blackberry Cobbler,Black Bear Diner Blackberry Cobbler,Black Bear Diner,serving,1.0,420.0
"Greek Yogurt, Black Cherry on The Bottom","Chobani Greek Yogurt, Black Cherry on The Bottom",Chobani,container,1.0,120.0
Black Raspberry-Blackberry Jam,Smucker's Black Raspberry-Blackberry Jam,Smucker's,tbsp,1.0,50.0
"Smoothie, Blackberry, Blackcurrant & Strawberry","Innocent Smoothie, Blackberry, Blackcurrant & Strawberry",Innocent,ml,250.0,137.5800018310547
Blackberry Mojito,Black Angus Steakhouse Blackberry Mojito,Black Angus Steakhouse,serving,1.0,230.0
Fully Cooked Original Bacon,Hormel Black Label Fully Cooked Original Bacon,Hormel Black Label,slices,4.0,80.0
100% Juice Black Cherry Blackberry,Meijer 100% Juice Black Cherry Blackberry,Meijer,fl oz,8.0,130.0
Black and Tan,Black Angus Steakhouse Black and Tan,Black Angus Steakhouse,oz,12.0,170.0
"Blackstone Merlot, Bottle.","Black Angus Steakhouse Blackstone Merlot, Bottle.",Black Angus Steakhouse,oz,25.360000610351562,590.0
Orchard Black Cherry Soda,Black Bear Orchard Black Cherry Soda,Black Bear,floz,8.0,120.0
Sweet Blackberry Tea,Black Angus Steakhouse Sweet Blackberry Tea,Black Angus Steakhouse,serving,1.0,310.0
Blackberry Ginger Ale,Black Angus Steakhouse Blackberry Ginger Ale,Black Angus Steakhouse,serving,1.0,210.0
"Black Tea, Black Cherry","Davids Tea Black Tea, Black Cherry",Davids Tea,cup,1.0,5.0
Made with Blackberry Juice,Bing Black Made with Blackberry Juice,Bing Black,can,1.0,40.0
Black Cherry Probiotic Yogurt,Dannon Activia Black Cherry Probiotic Yogurt,Dannon Activia,container,1.0,90.0
"Blackstone Merlot, 6 oz.","Black Angus Steakhouse Blackstone Merlot, 6 oz.",Black Angus Steakhouse,oz,6.0,140.0
Plain Bagels,Thomas' Plain Bagels,Thomas',bagel,1.0,270.0
Bagels,Rocky Mountain Bagels Bagels,Rocky Mountain Bagels,bagel,1.0,310.0
Everything Bagels,Thomas' Everything Bagels,Thomas',bagel,1.0,290.0
Brooklyn Bagels,Ray's New York Bagels Brooklyn Bagels,Ray's New York Bagels,bagel,1.0,310.0
"4-Pack Bagels, Cinnamon Raisin","Blazing Bagels 4-Pack Bagels, Cinnamon Raisin",Blazing Bagels,bagel,1.0,320.0
Bagels Blueberry,Thomas' Bagels Blueberry,Thomas',bagel,1.0,280.0
"Mini Bagels, Plain","Thomas' Mini Bagels, Plain",Thomas',bagels,2.0,250.0
"Bagels, Plain","Lender's Bagels, Plain",Lender's,bagel,1.0,220.0
Whole Wheat Bagels,Thomas' Whole Wheat Bagels,Thomas',bagel,1.0,240.0
"Bagels, Blueberry","Lender's Bagels, Blueberry",Lender's,bagel,1.0,210.0
"Bagels, Cinnamon Raisin, Pre-Sliced","Thomas' Bagels, Cinnamon Raisin, Pre-Sliced",Thomas',bagel,1.0,280.0
"Bagels, Cinnamon Swirl","Thomas' Bagels, Cinnamon Swirl",Thomas',bagel,1.0,280.0
"Bagels, Everything","Dempsters Bagels, Everything",Dempsters,bagel,1.0,210.0
"Bagels, Pumpkin Spice","Thomas' Bagels, Pumpkin Spice",Thomas',bagel,1.0,270.0
Blueberry Bagels,Albertson's Blueberry Bagels,Albertson's,bagel,1.0,230.0
Onion Bagels,Unknown Onion Bagels,Unknown,bagel,1.0,250.0
Boomin' Berry Organic Bagels,Dave's Killer Bread Boomin' Berry Organic Bagels,Dave's Killer Bread,bagel,1.0,260.0
